Roll No,Rank,Original_Category,Original_Category_Normalized,Assigned,Assigned_Post,Assigned_Category,Assigned_SubCategory,Assigned_Against
1118615,714,"BC,WE","OBC,WE",False,,,,
1100125,715,BC,OBC,False,,,,
1110756,716,"BC,WE,RG","OBC,WE,RG",False,,,,
1100085,717,"BC,WE","OBC,WE",False,,,,
1102259,718,BC,OBC,False,,,,
1104821,719,EWS,EWS,True,POST-33,EWS,GE,Vertical
1110235,720,"GE,RG","GE,RG",False,,,,
1101246,721,BC,OBC,False,,,,
1116983,722,"BC,RG","OBC,RG",False,,,,
1115353,723,BC,OBC,False,,,,
1117743,724,"BC,ME,NG,RG","OBC,ME,NG,RG",False,,,,
1113443,725,"BC,ME","OBC,ME",False,,,,
1112298,726,BC,OBC,False,,,,
1111627,727,"EWS,WE","EWS,WE",True,POST-23,EWS,"GE, WE",Vertical
1111637,728,"BC,WE,RG","OBC,WE,RG",False,,,,
1109017,729,EWS,EWS,True,POST-33,EWS,GE,Vertical
1103985,730,"MB,WE","MBC,WE",True,POST-4,MBC,"GE, WE",Vertical
1113047,731,"EWS,WE,ME","EWS,WE,ME",True,POST-25,EWS,"GE, WE",Vertical
1117408,732,GE,GE,False,,,,
1100500,733,GE,GE,False,,,,
1110834,734,"BC,WE,RG","OBC,WE,RG",False,,,,
1110531,735,"BC,WE","OBC,WE",False,,,,
1102408,736,"BC,RG","OBC,RG",False,,,,
1104282,737,BC,OBC,False,,,,
1109101,738,"BC,WE,RG","OBC,WE,RG",False,,,,
1100693,739,GE,GE,False,,,,
1113539,740,"BC,WE","OBC,WE",False,,,,
1103133,741,MB,MBC,True,POST-12,MBC,GE,Vertical
1105369,742,"EWS,RG","EWS,RG",False,,,,
1114906,743,"BC,RG","OBC,RG",False,,,,
1104987,744,BC,OBC,False,,,,
1107119,745,GE,GE,False,,,,
1100915,746,BC,OBC,False,,,,
1101513,747,GE,GE,False,,,,
1101671,748,BC,OBC,False,,,,
1101634,749,"BC,WE","OBC,WE",False,,,,
1100891,750,"SC,WE","SC,WE",True,POST-3,SC,GE,Vertical
1104361,751,BC,OBC,False,,,,
1100279,752,"BC,NG,RG","OBC,NG,RG",False,,,,
1103392,753,"BC,RG","OBC,RG",False,,,,
1100321,754,"BC,WE","OBC,WE",False,,,,
1100187,755,BC,OBC,False,,,,
1102209,756,ST,ST,True,POST-5,ST,GE,Vertical
1107800,757,ST,ST,True,POST-7,ST,GE,Vertical
1106890,758,"BC,RG","OBC,RG",False,,,,
1108343,759,"BC,WE","OBC,WE",False,,,,
1108157,760,BC,OBC,False,,,,
1117310,761,"EWS,RG","EWS,RG",False,,,,
1102021,762,"BC,BL","OBC,BL",False,,,,
1101069,763,BC,OBC,False,,,,
1111996,764,"GE,EX","GE,EX",True,POST-12,UR,EX,UR
1103413,765,"BC,NG,RG","OBC,NG,RG",False,,,,
1112294,766,MB,MBC,True,POST-13,MBC,GE,Vertical
1101104,767,"BC,WE","OBC,WE",False,,,,
1100166,768,BC,OBC,False,,,,
1109304,769,ST,ST,True,POST-7,ST,GE,Vertical
1100056,770,BC,OBC,False,,,,
1100122,771,MB,MBC,True,POST-17,MBC,GE,Vertical
1118528,772,MB,MBC,True,POST-17,MBC,GE,Vertical
1100221,773,BC,OBC,False,,,,
1103997,774,EWS,EWS,False,,,,
1103162,775,"EWS,WE","EWS,WE",True,POST-26,EWS,"GE, WE",Vertical
1106303,776,"GE,WE","GE,WE",False,,,,
1100142,777,"EWS,WE","EWS,WE",True,POST-33,EWS,"GE, WE",Vertical
1107576,778,EWS,EWS,False,,,,
1101186,779,BC,OBC,False,,,,
1100008,780,"BC,WE","OBC,WE",False,,,,
1113178,781,GE,GE,False,,,,
1109085,782,MB,MBC,True,POST-17,MBC,GE,Vertical
1106425,783,"BC,WE,RG","OBC,WE,RG",False,,,,
1102072,784,GE,GE,False,,,,
1101312,785,"BC,ME,RG","OBC,ME,RG",False,,,,
1101762,786,BC,OBC,False,,,,
1107163,787,BC,OBC,False,,,,
1106589,788,"GE,WE","GE,WE",False,,,,
1120245,789,"BC,WE","OBC,WE",False,,,,
1111114,790,"BC,WE","OBC,WE",False,,,,
1103778,791,"BC,EP","OBC,EP",False,,,,
1113641,792,EWS,EWS,False,,,,
1109315,793,GE,GE,False,,,,
1113105,794,"BC,RG","OBC,RG",False,,,,
1111981,795,"BC,WE","OBC,WE",False,,,,
1112701,796,BC,OBC,False,,,,
1106344,797,"BC,WE,ME","OBC,WE,ME",False,,,,
1115771,798,BC,OBC,False,,,,
1116611,799,BC,OBC,False,,,,
1107048,800,"GE,RG","GE,RG",False,,,,
1109376,801,"GE,WE","GE,WE",False,,,,
1105225,802,"BC,WE,RG","OBC,WE,RG",False,,,,
1110345,803,"BC,WE","OBC,WE",False,,,,
1102068,804,"BC,RG","OBC,RG",False,,,,
1111651,805,"ST,WE,RG","ST,WE,RG",True,POST-3,ST,"GE, WE",Vertical
1101195,806,BC,OBC,False,,,,
1109329,807,ST,ST,True,POST-8,ST,GE,Vertical
1116149,808,"BC,WE","OBC,WE",False,,,,
1118641,809,"GE,WE","GE,WE",False,,,,
